,image,name,price,link,color,brand,gender
0,http://clarks.scene7.com/is/image/clarks/26111246_AZ?$prod_list$,Enfield Tess,$160.00,http://www.clarksusa.com/us/womens-collections/womens-wide-width/enfield-tess-brown-smooth-leather/p/26111246,Brown Smooth Leather,Clarks,w
1,http://clarks.scene7.com/is/image/clarks/26119727_AZ?$prod_list$,Breccan Myth,$140.00,http://www.clarksusa.com/us/womens/womens-boots/womens-boots-view-all/breccan-myth-black-leather/p/26119727,Black Leather,Clarks,w
2,http://clarks.scene7.com/is/image/clarks/26120895_AZ?$prod_list$,Sillian Rhodes,$85.00,http://www.clarksusa.com/us/womens-collections/womens-wide-width/sillian-rhodes-black-synthetic-nubuck/p/26120895,Black Synthetic Nubuck,Clarks,w
3,http://clarks.scene7.com/is/image/clarks/26120476_AZ?$prod_list$,Sillian Chell,$120.00,http://www.clarksusa.com/us/womens-collections/womens-wide-width/sillian-chell-black-synthetic-nubuck/p/26120476,Black Synthetic Nubuck,Clarks,w
4,http://clarks.scene7.com/is/image/clarks/26121790_AZ?$prod_list$,Kendra Sienna,$110.00,http://www.clarksusa.com/us/womens/womens-heels/kendra-sienna-grey-suede/p/26121790,Grey Suede,Clarks,w
5,http://clarks.scene7.com/is/image/clarks/26122024_AZ?$prod_list$,Glick Avalee,$120.00,http://www.clarksusa.com/us/womens-technologies/womens-cushion-plus/glick-avalee-grey-textile-blk-leather-combi/p/26122024,Grey Textile/Blk Leather Combi,Clarks,w
6,http://clarks.scene7.com/is/image/clarks/26119490_AZ?$prod_list$,Tri Abby,$130.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-active/tri-abby-navy-leather/p/26119490,Navy Leather,Clarks,w
7,http://clarks.scene7.com/is/image/clarks/26120908_AZ?$prod_list$,Preslet Grove,$95.00,http://www.clarksusa.com/us/womens/womens-clogs/preslet-grove-dark-brown-leather/p/26120908,Dark Brown Leather,Clarks,w
8,http://clarks.scene7.com/is/image/clarks/26120409_AZ?$prod_list$,Avington Swan,$130.00,http://www.clarksusa.com/us/womens/womens-boots/womens-winter-boots/avington-swan-black-combi-sde/p/26120409,Black Combi Sde,Clarks,w
9,http://clarks.scene7.com/is/image/clarks/26107966_AZ?$prod_list$,Crepe Sole Clog,$44.99,http://www.clarksusa.com/us/womens/womens-slippers/crepe-sole-clog--grey/p/26107966,Grey,Clarks,w
10,http://clarks.scene7.com/is/image/clarks/26101483_AZ?$prod_list$,Brier Dolly,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/brier-dolly-black-synthetic/p/26101483,Black Synthetic,Clarks,w
11,http://clarks.scene7.com/is/image/clarks/26101488_AZ?$prod_list$,Brier Dolly,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/brier-dolly-nude-synthetic/p/26101488,Nude Synthetic,Clarks,w
12,http://clarks.scene7.com/is/image/clarks/26116154_AZ?$prod_list$,Sillian Rest,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/sillian-rest-navy-synthetic/p/26116154,Navy Synthetic,Clarks,w
13,http://clarks.scene7.com/is/image/clarks/26116156_AZ?$prod_list$,Sillian Rest,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/sillian-rest-black-synthetic/p/26116156,Black Synthetic,Clarks,w
14,http://clarks.scene7.com/is/image/clarks/26124794_AZ?$prod_list$,Leisa Lacole,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/leisa-lacole-tan-leather/p/26124794,Tan Leather,Clarks,w
15,http://clarks.scene7.com/is/image/clarks/26124695_AZ?$prod_list$,Breeze Mila,$55.00,http://www.clarksusa.com/us/womens-collections/womens-collection/breeze-mila-coral-synthetic/p/26124695,Coral Synthetic,Clarks,w
16,http://clarks.scene7.com/is/image/clarks/26125503_AZ?$prod_list$,Breeze Mila,$55.00,http://www.clarksusa.com/us/womens-collections/womens-collection/breeze-mila-white-synthetic/p/26125503,White Synthetic,Clarks,w
17,http://clarks.scene7.com/is/image/clarks/26125504_AZ?$prod_list$,Breeze Mila,$55.00,http://www.clarksusa.com/us/womens-collections/womens-collection/breeze-mila-pewter-synthetic/p/26125504,Pewter Synthetic,Clarks,w
18,http://clarks.scene7.com/is/image/clarks/26124796_AZ?$prod_list$,Leisa Lacole,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/leisa-lacole-red-leather/p/26124796,Red Leather,Clarks,w
19,http://clarks.scene7.com/is/image/clarks/26122919_AZ?$prod_list$,Maru Monk,$200.00,http://www.clarksusa.com/us/originals/originals-womens/maru-monk-black-combi-leather/p/26122919,Black Combi Leather,Clarks,w
20,http://clarks.scene7.com/is/image/clarks/26125291_AZ?$prod_list$,Gracelin Gemma,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/gracelin-gemma-brown-multi-leather/p/26125291,Brown Multi Leather,Clarks,w
21,http://clarks.scene7.com/is/image/clarks/26124431_AZ?$prod_list$,Medora Elie,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/medora-elie-black-leather/p/26124431,Black Leather,Clarks,w
22,http://clarks.scene7.com/is/image/clarks/26124883_AZ?$prod_list$,Medora Elie,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/medora-elie-sage-leather/p/26124883,Sage Leather,Clarks,w
23,http://clarks.scene7.com/is/image/clarks/26122935_AZ?$prod_list$,Glick Shine,$120.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/glick-shine-navy-leather/p/26122935,Navy Leather,Clarks,w
24,http://clarks.scene7.com/is/image/clarks/26122936_AZ?$prod_list$,Glick Shine,$120.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/glick-shine-nude-leather/p/26122936,Nude Leather,Clarks,w
25,http://clarks.scene7.com/is/image/clarks/26124919_AZ?$prod_list$,Parram Stella,$100.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/parram-stella-grey-blue-nubuck/p/26124919,Grey Blue Nubuck,Clarks,w
26,http://clarks.scene7.com/is/image/clarks/26125081_AZ?$prod_list$,Glick Castine,$120.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/glick-castine-light-tan-leather/p/26125081,Light Tan Leather,Clarks,w
27,http://clarks.scene7.com/is/image/clarks/26125145_AZ?$prod_list$,Candra Blush,$95.00,http://www.clarksusa.com/us/womens/womens-flats/candra-blush-dusty-pink-leather/p/26125145,Dusty Pink Leather,Clarks,w
28,http://clarks.scene7.com/is/image/clarks/26125121_AZ?$prod_list$,Wave Andes,$140.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-active/wave-andes-white-leather/p/26125121,White Leather,Clarks,w
29,http://clarks.scene7.com/is/image/clarks/26123147_AZ?$prod_list$,Aisley Tulip,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-tulip-yellow-nubuck/p/26123147,Yellow Nubuck,Clarks,w
30,http://clarks.scene7.com/is/image/clarks/26126007_AZ?$prod_list$,Allys Veranisa,$30.00,http://www.clarksusa.com/us/womens/womens-slippers/allys-veranisa-grey/p/26126007,Grey,Clarks,w
31,http://clarks.scene7.com/is/image/clarks/26035588_AZ?$prod_list$,Bayou Q,$85.00,http://www.clarksusa.com/us/womens/womens-flats/bayou-q-black-leather/p/26035588,Black Leather,Clarks,w
32,http://clarks.scene7.com/is/image/clarks/26063067_AZ?$prod_list$,Ashland Lane Q,$85.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-comfort-shoes/ashland-lane-q-redwood/p/26063067,Redwood,Clarks,w
33,http://clarks.scene7.com/is/image/clarks/26124263_AZ?$prod_list$,Zyris Toledo,$110.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/zyris-toledo-dark-tan-leather-fabric-combi/p/26124263,Dark Tan Leather/Fabric Combi,Clarks,w
34,http://clarks.scene7.com/is/image/clarks/26125968_AZ?$prod_list$,Allys Veranisa,$50.00,http://www.clarksusa.com/us/womens/womens-slippers/allys-veranisa-black/p/26125968,Black,Clarks,w
35,http://clarks.scene7.com/is/image/clarks/26035589_AZ?$prod_list$,Bayou Q,$85.00,http://www.clarksusa.com/us/womens/womens-flats/bayou-q-brown-leather/p/26035589,Brown Leather,Clarks,w
36,http://clarks.scene7.com/is/image/clarks/26035590_AZ?$prod_list$,Bayou Q,$85.00,http://www.clarksusa.com/us/womens/womens-flats/bayou-q-navy-leather/p/26035590,Navy Leather,Clarks,w
37,http://clarks.scene7.com/is/image/clarks/26063065_AZ?$prod_list$,Ashland Lane Q,$85.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-comfort-shoes/ashland-lane-q-navy/p/26063065,Navy,Clarks,w
38,http://clarks.scene7.com/is/image/clarks/26068766_AZ?$prod_list$,Ashland Lane Q,$85.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-comfort-shoes/ashland-lane-q-pewter-leather/p/26068766,Pewter Leather,Clarks,w
