,image,name,price,link,gender
0,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=864014_600&$img1=864014_001&$img2=864014_002,Nike Air Force 1 UltraForce Mid,$110,http://store.nike.com/us/en_us/pd/air-force-1-ultraforce-mid-mens-shoe/pid-11253201/pgid-11464952,m
1,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=817420_004&$img1=817420_301,Nike Air Force 1 Ultra Flyknit,$150,http://store.nike.com/us/en_us/pd/air-force-1-ultra-flyknit-mens-shoe/pid-11241849/pgid-11867784,m
2,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=805899_101&$img1=805899_400&$img2=805899_201,Nike Lunar Force 1 Duckboot,$165,http://store.nike.com/us/en_us/pd/lunar-force-1-duckboot-mens-boot/pid-11251166/pgid-10338432,m
3,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=923619_200&$img1=923619_001,Nike LunarCharge Essential,$110,http://store.nike.com/us/en_us/pd/lunarcharge-essential-mens-shoe/pid-11614885/pgid-11820259,m
4,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=881988_002&$img1=881988_004&$img2=881988_600,Nike Aptare SE,$100,http://store.nike.com/us/en_us/pd/aptare-se-mens-shoe/pid-11246898/pgid-11464951,m
5,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=862749_002&$img1=862749_003&$img2=862749_600,Nike Air Presto Utility,$130,http://store.nike.com/us/en_us/pd/air-presto-utility-mens-shoe/pid-11158202/pgid-11296517,m
6,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=859524_003&$img1=859524_001,Nike Air Presto Mid Utility,$140,http://store.nike.com/us/en_us/pd/air-presto-mid-utility-mens-shoe/pid-11157755/pgid-11296495,m
7,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=855984_001,Nike Lunar Force 1 Flyknit Workboot,$200,http://store.nike.com/us/en_us/pd/lunar-force-1-flyknit-workboot-mens-shoe/pid-11157446/pgid-11208030,m
8,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=806809_300&$img1=806809_002,Nike Air Max 95 SneakerBoot,$200,http://store.nike.com/us/en_us/pd/air-max-95-sneakerboot-mens-boot/pid-10338627/pgid-11637013,m
9,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=864018_001,Nike Air Penny IV,$160,http://store.nike.com/us/en_us/pd/air-penny-iv-mens-shoe/pid-11253206/pgid-11464959,m
