,image,name,price,link,brand,category
0,http://image.s5a.com/is/image/saks/0400092073894_A4_247x329.jpg,Lennox Suede Espadrille Flats,$275.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524447023433&R=190896038000&P_name=Michael+Kors+Collection&N=306624248&bmUID=lAuuQHZ,Michael Kors Collection,Flats
1,http://image.s5a.com/is/image/saks/0400092317528_A4_247x329.jpg,Denim & Leather Babouche Slippers,$425.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524447034110&R=888824449423&P_name=3.1+Phillip+Lim&N=306624248&bmUID=lAuuQH_,3.1 Phillip Lim,Flats
2,http://image.s5a.com/is/image/saks/0400092317628_247x329.jpg,Leather Babouche Slippers,$450.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524447034136&R=888824449614&P_name=3.1+Phillip+Lim&N=306624248&bmUID=lAuuQH.,3.1 Phillip Lim,Flats
3,http://image.s5a.com/is/image/saks/0400092757358_247x329.jpg,Floral-Embroidered Platform Espadrille Flats,$670.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524447046970&R=889261239998&P_name=Alexander+McQueen&N=306624248&bmUID=lAuuQI0,Alexander McQueen,Flats
4,http://image.s5a.com/is/image/saks/0400092757413_247x329.jpg,Floral-Print Canvas Platform Espadrille Flats,$670.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524447046977&R=889261232128&P_name=Alexander+McQueen&N=306624248&bmUID=lAuuQI1,Alexander McQueen,Flats
5,http://image.s5a.com/is/image/saks/0400093073012_247x329.jpg,Kayla Crystal-Studded Denim Flats,$670.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524447057790&R=888445798788&P_name=Alice+%2B+Olivia&N=306624248&bmUID=lAuuQI2,Alice + Olivia,Flats
6,http://image.s5a.com/is/image/saks/0400093073335_247x329.jpg,Kaylee Lips Suede Ballet Flats,$670.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524447057729&R=888445798672&P_name=Alice+%2B+Olivia&N=306624248&bmUID=lAuuQI3,Alice + Olivia,Flats
7,http://image.s5a.com/is/image/saks/0400093073377_247x329.jpg,Kaylee Lips Denim Flats,$670.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524447057796&R=888445798429&P_name=Alice+%2B+Olivia&N=306624248&bmUID=lAuuQI4,Alice + Olivia,Flats
8,http://image.s5a.com/is/image/saks/0400087336034_247x329.jpg,Belgravia Suede Point-Toe Lace-Up Flats,$670.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524446837039&R=400869707193&P_name=Aquazzura&N=306624248&bmUID=lAuuQI5,Aquazzura,Flats
9,http://image.s5a.com/is/image/saks/0400088904876_247x329.jpg,Christy Leather Lace-Up Flats,$670.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524446911997&R=469642479016&P_name=Aquazzura&N=306624248&bmUID=lAuuQI6,Aquazzura,Flats
10,http://image.s5a.com/is/image/saks/0400090345701_247x329.jpg,Dancer Suede Lace-Up Flats,$670.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524446975596&R=400903431633&P_name=Aquazzura&N=306624248&bmUID=lAuuQI7,Aquazzura,Flats
11,http://image.s5a.com/is/image/saks/0400090345777_247x329.jpg,Christy Leopard-Print Calf Hair Lace-Up Flats,$670.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624248&PRODUCT%3C%3Eprd_id=845524446975568&R=400903457916&P_name=Aquazzura&N=306624248&bmUID=lAuuQI8,Aquazzura,Flats
