,image,name,price,link,brand,gender
0,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw15008fc7/images/2016/cr0430001_REGULAR.jpg, torello black smoke,$135.00,http://www.cr8rec.com/creative-recreation-torello-black-smoke/CR0430001.html?dwvar_CR0430001_color=01,Creative Recreation,m
1,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwc2cde227/images/2016/CR0320001_REGULAR.jpg, castucci black olive fog,$125.00,http://www.cr8rec.com/creative-recreation-castucci-black-olive-fog/CR0320001.html?dwvar_CR0320001_color=01,Creative Recreation,m
2,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw1ff37fc0/images/2016/cr0430003_REGULAR.jpg, torello military black primary red,$135.00,http://www.cr8rec.com/creative-recreation-torello-military-black-primary/CR0430003.html?dwvar_CR0430003_color=15,Creative Recreation,m
3,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw30fc9295/images/2016/CR4080041_REGULAR.jpg, santos charcoal black,$85.00,http://www.cr8rec.com/creative-recreation-santos-charcoal-black/CR4080041.html?dwvar_CR4080041_color=01,Creative Recreation,m
4,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwb6fff663/images/2016/CR3250017_REGULAR.jpg, moretti black,$130.00,http://www.cr8rec.com/creative-recreation-moretti-black/CR3250017.html?dwvar_CR3250017_color=01,Creative Recreation,m
5,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw23f2d6e9/images/2016/CR0350003_REGULAR.jpg, bilotti smoke,$90.00,http://www.cr8rec.com/creative-recreation-bilotti-smoke/CR0350003.html?dwvar_CR0350003_color=04,Creative Recreation,m
6,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw6764150b/images/2016/CR0370003_REGULAR.jpg, napoli navy,$120.00,http://www.cr8rec.com/creative-recreation-napoli-navy/CR0370003.html?dwvar_CR0370003_color=40,Creative Recreation,m
7,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwf45c3689/images/2016/CR0350001_REGULAR.jpg, bilotti black,$90.00,http://www.cr8rec.com/creative-recreation-bilotti-black/CR0350001.html?dwvar_CR0350001_color=01,Creative Recreation,m
8,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwbd909a86/images/2016/CR0630023_REGULAR.jpg, vito grey charcoal,$90.00,http://www.cr8rec.com/creative-recreation-vito-grey-charcoal/CR0630023.html?dwvar_CR0630023_color=04,Creative Recreation,m
9,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw4bed7ecb/images/2016/CR0630025_REGULAR.jpg, vito black,$90.00,http://www.cr8rec.com/creative-recreation-vito-black/CR0630025.html?dwvar_CR0630025_color=01,Creative Recreation,m
10,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwb2a7d60b/images/2016/CR2630030_REGULAR.jpg, vito lo brown tumble,$80.00,http://www.cr8rec.com/creative-recreation-vito-lo-brown-tumble/CR2630030.html?dwvar_CR2630030_color=20,Creative Recreation,m
11,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwa35eead2/images/2016/CR2630031_REGULAR.jpg, vito lo navy brown,$80.00,http://www.cr8rec.com/creative-recreation-vito-lo-navy-brown/CR2630031.html?dwvar_CR2630031_color=60,Creative Recreation,m
12,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw9379780f/images/2016/CR2630033_REGULAR.jpg, vito lo black,$80.00,http://www.cr8rec.com/creative-recreation-vito-lo-black/CR2630033.html?dwvar_CR2630033_color=01,Creative Recreation,m
13,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw0098530a/images/2016/CR2630032_REGULAR.jpg, vito lo grey,$80.00,http://www.cr8rec.com/creative-recreation-vito-lo-grey/CR2630032.html?dwvar_CR2630032_color=04,Creative Recreation,m
14,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwa459ad0d/images/CR325H006_8_REGULAR.jpg, moretti black,$100.00,http://www.cr8rec.com/creative-recreation-moretti-black-black/CR325H006.html?dwvar_CR325H006_color=01,Creative Recreation,m
15,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwc586fc86/images/2016/CR3250014_REGULAR.jpg, moretti pewter black,$130.00,http://www.cr8rec.com/creative-recreation-moretti-pewter-black/CR3250014.html?dwvar_CR3250014_color=04,Creative Recreation,m
