,image,name,price,link,brand
0,http://image.s5a.com/is/image/saks/0400092414525_247x329.jpg,Ellis Embroidered Leather Mules,$395.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447038315&R=190041372256&P_name=Tory+Burch&N=306624247&bmUID=lAuWYL5,Tory Burch
1,http://image.s5a.com/is/image/saks/0400093198559_247x329.jpg,Heart Breaker Suede Ankle-Wrap Pumps,$650.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447062196&R=400931985689&P_name=Aquazzura&N=306624247&bmUID=lAuWYL6,Aquazzura
2,http://image.s5a.com/is/image/saks/0400090885720_247x329.jpg,Follies Crystal & Mesh Point-Toe Pumps,$1195.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447004590&R=400908857421&P_name=Christian+Louboutin&N=306624247&bmUID=lAuWYL7,Christian Louboutin
3,http://image.s5a.com/is/image/saks/0400093281420_247x329.jpg,Adderly Snake-Print Leather Ankle-Strap Wedge Sandals,$160.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447065008&R=190595310735&P_name=Cole+Haan&N=306624247&bmUID=lAuWYL8,Cole Haan
4,http://image.s5a.com/is/image/saks/0400093281742_247x329.jpg,Zerø Grand Leather Crisscross Sandals,$150.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447065061&R=190595210677&P_name=Cole+Haan&N=306624247&bmUID=lAuWYL9,Cole Haan
5,http://image.s5a.com/is/image/saks/0400092379473_247x329.jpg,Elegant Studded Leather Loafers,$995.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447036537&R=3594657496905&P_name=Givenchy&N=306624247&bmUID=lAuWYLa,Givenchy
6,http://image.s5a.com/is/image/saks/0400093136594_247x329.jpg,Carolyne Floral-Embroidered Denim Slingbacks,$815.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447059656&R=191087037581&P_name=Manolo+Blahnik&N=306624247&bmUID=lAuWYLb,Manolo Blahnik
7,http://image.s5a.com/is/image/saks/0400093137173_247x329.jpg,Esparra Pom-Pom Front-Tie Sandals,$795.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447059708&R=191087035914&P_name=Manolo+Blahnik&N=306624247&bmUID=lAuWYLc,Manolo Blahnik
8,http://image.s5a.com/is/image/saks/0400093516335_247x329.jpg,Avril Woven Leather Slides,$450.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447077250&R=886353187878&P_name=Rag+%26+Bone&N=306624247&bmUID=lAuWYLd,Rag & Bone
9,http://image.s5a.com/is/image/saks/0400093516452_247x329.jpg,Eden Leather Lace-Up Block-Heel Sandals,$450.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447077241&R=886353186642&P_name=Rag+%26+Bone&N=306624247&bmUID=lAuWYLe,Rag & Bone
10,http://image.s5a.com/is/image/saks/0400093516633_247x329.jpg,Linden Perforated Leather Platform Sneakers,$375.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447077238&R=886353185140&P_name=Rag+%26+Bone&N=306624247&bmUID=lAuWYLf,Rag & Bone
11,http://image.s5a.com/is/image/saks/0400093516707_247x329.jpg,Luna Suede & Leather Thong Sandals,$295.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447077191&R=886353187007&P_name=Rag+%26+Bone&N=306624247&bmUID=lAuWYLg,Rag & Bone
12,http://image.s5a.com/is/image/saks/0400093516773_247x329.jpg,Adria Suede Espadrille Flats,$250.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447077237&R=886353183498&P_name=Rag+%26+Bone&N=306624247&bmUID=lAuWYLh,Rag & Bone
13,http://image.s5a.com/is/image/saks/0400092773074_247x329.jpg,Jane Whipstitch Leather Ankle-Strap Sandals,$260.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447047324&R=8051404264576&P_name=See+by+Chlo%26%23233%3B&N=306624247&bmUID=lAuWYLi,See by Chloé
14,http://image.s5a.com/is/image/saks/0400092824527_247x329.jpg,Tara Denim Platform Slingback Sandals,$315.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447048462&R=8051404266631&P_name=See+by+Chlo%26%23233%3B&N=306624247&bmUID=lAuWYLj,See by Chloé
15,http://image.s5a.com/is/image/saks/0400092492549_247x329.jpg,Laney Neoprene Sneakers,$225.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447040371&R=190041372669&P_name=Tory+Burch&N=306624247&bmUID=lAuWYLk,Tory Burch
16,http://image.s5a.com/is/image/saks/0400092481960_247x329.jpg,Petra Suede Block-Heel Mules,$295.00,http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306624247&PRODUCT%3C%3Eprd_id=845524447040387&R=727682785895&P_name=Vince&N=306624247&bmUID=lAuWYLl,Vince
