,image,name,price,link,color,brand,gender
0,http://clarks.scene7.com/is/image/clarks/26119655_AZ?$prod_list$,Devington Hi,$79.99,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/devington-hi-tobacco-leather/p/26119655,Tobacco Leather,Clarks,m
1,http://clarks.scene7.com/is/image/clarks/26110348_AZ?$prod_list$,Kyros Edge,$59.99,http://www.clarksusa.com/us/mens/mens-shoes/mens-casual-shoes/kyros-edge-brown-tumbled-leather/p/26110348,Brown Tumbled Leather,Clarks,m
2,http://clarks.scene7.com/is/image/clarks/26110678_AZ?$prod_list$,Muckers Camo,$69.99,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/muckers-camo-black-nubuck/p/26110678,Black Nubuck,Clarks,m
3,http://clarks.scene7.com/is/image/clarks/26113057_AZ?$prod_list$,Kimball Zip,$99.99,http://www.clarksusa.com/us/mens/mens-view-all/kimball-zip-black-tumbled-leather/p/26113057,Black Tumbled Leather,Clarks,m
4,http://clarks.scene7.com/is/image/clarks/26119325_AZ?$prod_list$,Lawes Hi GTX,$119.99,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/lawes-hi-gtx-brown-leather/p/26119325,Brown Leather,Clarks,m
5,http://clarks.scene7.com/is/image/clarks/26119654_AZ?$prod_list$,Devington Hi,$79.99,http://www.clarksusa.com/us/mens/mens-boots/mens-casual-boots/devington-hi-black-smooth-leather/p/26119654,Black Smooth Leather,Clarks,m
6,http://clarks.scene7.com/is/image/clarks/26115156_AZ?$prod_list$,Norwin Go,$59.99,http://www.clarksusa.com/us/mens/mens-shoes/mens-casual-shoes/norwin-go-black-synthetic/p/26115156,Black Synthetic,Clarks,m
7,http://clarks.scene7.com/is/image/clarks/26114481_AZ?$prod_list$,Garren Cap,$69.99,http://www.clarksusa.com/us/mens/mens-shoes/mens-dress-casual-shoes/garren-cap-black-leather/p/26114481,Black Leather,Clarks,m
8,http://clarks.scene7.com/is/image/clarks/26117692_AZ?$prod_list$,Tamho Edge,$59.99,http://www.clarksusa.com/us/mens/mens-shoes/mens-casual-shoes/tamho-edge-rust-suede/p/26117692,Rust Suede,Clarks,m
9,http://clarks.scene7.com/is/image/clarks/26121357_AZ?$prod_list$,Wave Bay,$119.99,http://www.clarksusa.com/us/mens/mens-shoes/mens-active/wave-bay-black-nubuck/p/26121357,Black Nubuck,Clarks,m
