,image,name,price,link,gender
0,http://nord.imgix.net/Zoom/17/_9795237.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,J&M 1850 'Fulton' Shearling Zip Boot (Men),$199.90,http://shop.nordstrom.com/s/jm-1850-fulton-shearling-zip-boot-men/3743435?origin=category-personalizedsort&fashioncolor=DARK%20BROWN,m
1,http://nord.imgix.net/Zoom/13/_11430033.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Steve Madden 'Crucible' Cap Toe Derby (Men),$99.90,http://shop.nordstrom.com/s/steve-madden-crucible-cap-toe-derby-men/4533905?origin=category-personalizedsort&fashioncolor=TAN%20LEATHER,m
2,http://nord.imgix.net/Zoom/15/_13150255.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Vince Camuto 'Morgen' Chukka Boot (Men),$124.98,http://shop.nordstrom.com/s/vince-camuto-morgen-chukka-boot-men/4472489?origin=category-personalizedsort&fashioncolor=SIGARO%20LEATHER,m
3,http://nord.imgix.net/Zoom/2/_10952002.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein 'Bram' Cap Toe Derby (Men),$79.95,http://shop.nordstrom.com/s/calvin-klein-bram-cap-toe-derby-men/4093086?origin=category-personalizedsort&fashioncolor=BLACK,m
4,http://nord.imgix.net/Zoom/19/_13012019.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Andrew Marc 'Remsen' High Top Sneaker (Men),$99.99,http://shop.nordstrom.com/s/andrew-marc-remsen-high-top-sneaker-men/4393110?origin=category-personalizedsort&fashioncolor=NAVY%2F%20SNOW%20WHITE%20SUEDE,m
5,http://nord.imgix.net/Zoom/16/_11216256.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Mezlan 'Vitoria' Monk Strap Oxford (Men),$335.75,http://shop.nordstrom.com/s/mezlan-vitoria-monk-strap-oxford-men/4584596?origin=category-personalizedsort&fashioncolor=BLACK%20LEATHER,m
6,http://nord.imgix.net/Zoom/13/_13100813.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Timberland 'Euro Low' Hiking Shoe (Men),$65.98,http://shop.nordstrom.com/s/timberland-euro-low-hiking-shoe-men/4331866?origin=category-personalizedsort&fashioncolor=GAUCHO,m
7,http://nord.imgix.net/Zoom/9/_11031569.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Johnston & Murphy 'Tabor' Saddle Shoe (Men),$99.90,http://shop.nordstrom.com/s/johnston-murphy-tabor-saddle-shoe-men/4044897?origin=category-personalizedsort&fashioncolor=MAHOGANY,m
8,http://nord.imgix.net/Zoom/15/_13177735.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Børn Formio Plain Toe Boot (Men),$132.99,http://shop.nordstrom.com/s/born-formio-plain-toe-boot-men/4385777?origin=category-personalizedsort&fashioncolor=DARK%20BROWN,m
9,http://nord.imgix.net/Zoom/2/_11688902.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Wolverine '1000 Mile' Plain Toe Boot (Men),$251.90,http://shop.nordstrom.com/s/wolverine-1000-mile-plain-toe-boot-men/4544446?origin=category-personalizedsort&fashioncolor=BROWN%20SUEDE,m
10,http://nord.imgix.net/Zoom/19/_13234499.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein 'Raxton' Dual Zip Boot (Men),$97.99,http://shop.nordstrom.com/s/calvin-klein-raxton-dual-zip-boot-men/4589717?origin=category-personalizedsort&fashioncolor=DARK%20BROWN,m
11,http://nord.imgix.net/Zoom/4/_10168024.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein 'Bartley' Bit Loafer (Men),$81.90,http://shop.nordstrom.com/s/calvin-klein-bartley-bit-loafer-men/4589663?origin=category-personalizedsort&fashioncolor=BLACK,m
12,http://nord.imgix.net/Zoom/18/_13130018.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein 'Yago' Buck Shoe (Men),$69.90,http://shop.nordstrom.com/s/calvin-klein-yago-buck-shoe-men/4589727?origin=category-personalizedsort&fashioncolor=DARK%20BROWN,m
13,http://nord.imgix.net/Zoom/14/_100041594.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Steve Madden Ignition Loafer (Men),$69.90,http://shop.nordstrom.com/s/steve-madden-ignition-loafer-men/4529697?origin=category-personalizedsort&fashioncolor=BLACK%20LEATHER,m
14,http://nord.imgix.net/Zoom/18/_12008538.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Børn 'Buck' Chelsea Boot (Men),$83.96 – $84.99,http://shop.nordstrom.com/s/born-buck-chelsey-boot/4231953?origin=category-personalizedsort&fashioncolor=BLACK%20LEATHER,m
15,http://nord.imgix.net/Zoom/7/_9475067.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein 'Brodie' Plain Toe Derby (Men),$76.96,http://shop.nordstrom.com/s/calvin-klein-brodie-plain-toe-derby-men/4391987?origin=category-personalizedsort&fashioncolor=BLACK,m
16,http://nord.imgix.net/Zoom/1/_13008901.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Børn 'Jacques' Sneaker (Men),$79.90,http://shop.nordstrom.com/s/born-jacques-sneaker-men/4385763?origin=category-personalizedsort&fashioncolor=TAN,m
17,http://nord.imgix.net/Zoom/10/_13187370.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Zanzara 'Messina' Zip Boot (Men),$168.90,http://shop.nordstrom.com/s/zanzara-messina-zip-boot-men/4545995?origin=category-personalizedsort&fashioncolor=BROWN,m
18,http://nord.imgix.net/Zoom/15/_13011935.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Andrew Marc 'Darwood' Sneaker (Men),$129.99,http://shop.nordstrom.com/s/andrew-marc-darwood-sneaker-men/4393111?origin=category-personalizedsort&fashioncolor=NAVY%2F%20SNOW%20WHITE%20LEATHER,m
19,http://nord.imgix.net/Zoom/8/_12939948.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein 'Natel' High Top Sneaker (Men),$89.90,http://shop.nordstrom.com/s/calvin-klein-natel-high-top-sneaker-men/4502726?origin=category-personalizedsort&fashioncolor=DARK%20RED,m
20,http://nord.imgix.net/Zoom/2/_11684982.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Aquatalia 'Bruce' Weatherproof Driving Shoe (Men),$236.90,http://shop.nordstrom.com/s/bruce-slip-on-driver/4441652?origin=category-personalizedsort&fashioncolor=ORANGE%20SUEDE,m
21,http://nord.imgix.net/Zoom/12/_12182212.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Zolton' Sneaker (Men),$61.56,http://shop.nordstrom.com/s/calvin-klein-jeans-zolton-sneaker-men/4310243?origin=category-personalizedsort&fashioncolor=DARK%20GREY%20DENIM,m
22,http://nord.imgix.net/Zoom/3/_12862783.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Steve Madden 'Webbar' Plain Toe Boot (Men),$120.99,http://shop.nordstrom.com/s/steve-madden-webbar-plain-toe-boot-men/4569900?origin=category-personalizedsort&fashioncolor=BLACK%20LEATHER,m
23,http://nord.imgix.net/Zoom/16/_12946176.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,1901 'Tyler' Chukka Boot (Men),$99.90,http://shop.nordstrom.com/s/1901-tyler-chukka-boot-men/4552930?origin=category-personalizedsort&fashioncolor=CHESTNUT%20LEATHER,m
24,http://nord.imgix.net/Zoom/18/_13175918.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Kole' Boot (Men),$105.00,http://shop.nordstrom.com/s/calvin-klein-jeans-kole-boot-men/4397245?origin=category-personalizedsort&fashioncolor=MOCHA%2F%20BLACK%20SUEDE,m
25,http://nord.imgix.net/Zoom/1/_13020281.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Andrew Marc 'Brookside' Chelsea Boot (Men),$109.99,http://shop.nordstrom.com/s/andrew-marc-brookside-chelsea-boot-men/4393114?origin=category-personalizedsort&fashioncolor=BROWN%2F%20CREAM%20LEATHER,m
26,http://nord.imgix.net/Zoom/4/_13153644.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein 'Gable' Plain-Toe Combat Boot (Men),$115.99,http://shop.nordstrom.com/s/calvin-klein-gable-plain-toe-combat-boot-men/4589721?origin=category-personalizedsort&fashioncolor=DARK%20BROWN,m
27,http://nord.imgix.net/Zoom/10/_12737270.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Utah' Sneaker (Men),$68.56,http://shop.nordstrom.com/s/calvin-klein-jeans-utah-sneaker-men/4396733?origin=category-personalizedsort&fashioncolor=MIDNIGHT%2F%20BLACK,m
28,http://nord.imgix.net/Zoom/5/_13261465.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Kenneth Cole New York Coat N Tie Cap Toe Oxford (Men),$157.99,http://shop.nordstrom.com/s/kenneth-cole-new-york-coat-n-tie-cap-toe-oxford-men/4589818?origin=category-personalizedsort&fashioncolor=BLACK,m
29,http://nord.imgix.net/Zoom/1/_12152541.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Johnston & Murphy 'Matthews' Oxford Sneaker (Men),$109.90,http://shop.nordstrom.com/s/johnston-murphy-matthews-oxford-sneaker-men/4301819?origin=category-personalizedsort&fashioncolor=BROWN%20CALFSKIN,m
30,http://nord.imgix.net/Zoom/19/_13179579.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Timberland 'Carter' Waterproof Plain-Toe Derby (Men),$71.98,http://shop.nordstrom.com/s/timberland-carter-waterproof-plain-toe-derby-men/4331789?origin=category-personalizedsort&fashioncolor=BLACK,m
31,http://nord.imgix.net/Zoom/12/_9480772.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,UGG® Australia 'Brompton' Chukka Boot (Men),$129.90,http://shop.nordstrom.com/s/ugg-australia-brompton-chukka-boot-men/3730990?origin=category-personalizedsort&fashioncolor=GRIZZLY,m
32,http://nord.imgix.net/Zoom/10/_12781910.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Arturo' Sneaker (Men),$61.56,http://shop.nordstrom.com/s/calvin-klein-jeans-arturo-sneaker-men/4396732?origin=category-personalizedsort&fashioncolor=BLACK,m
33,http://nord.imgix.net/Zoom/0/_13177720.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Børn 'Joel' Moc Toe Derby (Men),$69.90,http://shop.nordstrom.com/s/born-joel-moc-toe-derby-men/4556938?origin=category-personalizedsort&fashioncolor=TAUPE,m
34,http://nord.imgix.net/Zoom/2/_13178022.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Børn 'Porto Mid' Chelsea Boot (Men),$99.99,http://shop.nordstrom.com/s/born-porto-mid-chelsea-boot-men/4552961?origin=category-personalizedsort&fashioncolor=DARK%20BROWN,m
35,http://nord.imgix.net/Zoom/15/_11998115.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Brooks 'PureCadence 5' Running Shoe (Men),$89.95,http://shop.nordstrom.com/s/brooks-purecadence-5-running-shoe-men/4163772?origin=category-personalizedsort&fashioncolor=BLACK%2F%20ELECTRIC%20BLUE,m
36,http://nord.imgix.net/Zoom/5/_11163865.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Frye 'Grand' High Lace Sneaker (Men),$216.00,http://shop.nordstrom.com/s/frye-grand-high-lace-sneaker-men/4108791?origin=category-personalizedsort&fashioncolor=BLACK,m
37,http://nord.imgix.net/Zoom/5/_13197385.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Mezlan Milis Apron Toe Oxford (Men),$234.90,http://shop.nordstrom.com/s/mezlan-milis-apron-toe-oxford-men/4374728?origin=category-personalizedsort&fashioncolor=BROWN,m
38,http://nord.imgix.net/Zoom/8/_13269848.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Kenneth Cole New York Take Five Chukka Boot (Men),$122.99,http://shop.nordstrom.com/s/kenneth-cole-new-york-take-five-chukka-boot-men/4370621?origin=category-personalizedsort&fashioncolor=GREY,m
39,http://nord.imgix.net/Zoom/17/_11119397.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Zanzara 'Becket' Cap Toe Derby (Men),$149.90,http://shop.nordstrom.com/s/zanzara-becket-cap-toe-derby-men/4067958?origin=category-personalizedsort&fashioncolor=BLACK,m
40,http://nord.imgix.net/Zoom/13/_13133673.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Arnaud' Sneaker (Men),$61.56,http://shop.nordstrom.com/s/calvin-klein-jeans-arnaud-sneaker-men/4549757?origin=category-personalizedsort&fashioncolor=BLUE%2F%20OFF%20WHITE,m
41,http://nord.imgix.net/Zoom/19/_13178119.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Zanzara 'Gauguin' Cap Toe Derby (Men),$129.90,http://shop.nordstrom.com/s/zanzara-gauguin-cap-toe-derby-men/4387481?origin=category-personalizedsort&fashioncolor=BROWN,m
42,http://nord.imgix.net/Zoom/14/_12915894.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Mezlan 'Marsala' High Top Sneaker (Men),$199.90,http://shop.nordstrom.com/s/mezlan-marsala-high-top-sneaker-men/4374196?origin=category-personalizedsort&fashioncolor=BURGUNDY,m
43,http://nord.imgix.net/Zoom/11/_13173911.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Hugo' Chelsea Boot (Men),$105.00,http://shop.nordstrom.com/s/calvin-klein-jeans-hugo-chelsea-boot-men/4397263?origin=category-personalizedsort&fashioncolor=MOCHA%20SUEDE,m
44,http://nord.imgix.net/Zoom/8/_10906148.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Steve Madden 'Harpoon' Derby (Men),$69.90,http://shop.nordstrom.com/s/steve-madden-harpoon-derby-men/4079570?origin=category-personalizedsort&fashioncolor=WOOD%20LEATHER,m
45,http://nord.imgix.net/Zoom/6/_12078886.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Vince Camuto 'Arleigh' Loafer (Men),$87.49,http://shop.nordstrom.com/s/vince-camuto-arleigh-loafer-men/4273676?origin=category-personalizedsort&fashioncolor=MOROCCAN%20BLUE%20SUEDE,m
46,http://nord.imgix.net/Zoom/0/_13150220.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Ted Baker London 'Hann 2' Wingtip (Men),$135.90,http://shop.nordstrom.com/s/ted-baker-london-hann-2-wingtip-men/4235291?origin=category-personalizedsort&fashioncolor=BLACK,m
47,http://nord.imgix.net/Zoom/11/_12200131.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Vince Camuto 'Nacher' Loafer (Men),$112.49,http://shop.nordstrom.com/s/vince-camuto-nacher-slip-on/4273659?origin=category-personalizedsort&fashioncolor=MIDNIGHT%20LEATHER,m
